URS000000076D	MIRBASE	MI0000019	6239	pre_miRNA	cel-mir-48
URS00000007CB	MIRBASE	MIMAT0023447	6289	miRNA	hco-miR-5945-3p
URS0000000EAC	MIRBASE	MIMAT0004540	10090	miRNA	mmu-miR-186-3p
URS0000000F88	MIRBASE	MIMAT0017051	10090	miRNA	mmu-miR-100-3p
URS00000011DF	MIRBASE	MIMAT0022711	9606	miRNA	hsa-miR-660-3p
URS0000001251	MIRBASE	MI0009129	7222	pre_miRNA	dgr-mir-9a
URS0000001251	MIRBASE	MI0009223	7230	pre_miRNA	dmo-mir-9a
URS0000001251	MIRBASE	MI0009495	7244	pre_miRNA	dvi-mir-9a
URS000000187C	MIRBASE	MI0011117	31234	pre_miRNA	crm-mir-2227
URS0000001A7A	MIRBASE	MI0003639	9606	pre_miRNA	hsa-mir-625
URS0000001D3B	MIRBASE	MI0011653	7237	pre_miRNA	dps-mir-2520
URS0000001EB3	MIRBASE	MI0000089	9606	pre_miRNA	hsa-mir-31
URS0000001EB3	MIRBASE	MI0002671	9544	pre_miRNA	mml-mir-31
URS0000001EB3	MIRBASE	MI0002672	9598	pre_miRNA	ptr-mir-31
URS0000001EB3	MIRBASE	MI0002673	9593	pre_miRNA	ggo-mir-31
URS0000001EB3	MIRBASE	MI0002674	9600	pre_miRNA	ppy-mir-31
URS0000001EB3	MIRBASE	MI0002675	9545	pre_miRNA	mne-mir-31
URS0000001EB3	MIRBASE	MI0002676	9597	pre_miRNA	ppa-mir-31
URS00000020DF	MIRBASE	MI0009625	7260	pre_miRNA	dwi-mir-133
URS0000002489	MIRBASE	MI0001297	7237	pre_miRNA	dps-mir-iab-4
URS0000002489	MIRBASE	MI0008975	7217	pre_miRNA	dan-mir-iab-4
URS0000002489	MIRBASE	MI0009119	7222	pre_miRNA	dgr-mir-iab-4
URS0000002489	MIRBASE	MI0009234	7230	pre_miRNA	dmo-mir-iab-4
URS0000002489	MIRBASE	MI0009296	7234	pre_miRNA	dpe-mir-iab-4
URS0000002489	MIRBASE	MI0009531	7244	pre_miRNA	dvi-mir-iab-4
URS00000028A7	MIRBASE	MIMAT0001050	4530	miRNA	osa-miR169e
URS00000028A7	MIRBASE	MIMAT0011333	4558	miRNA	sbi-miR169e
URS00000028A7	MIRBASE	MIMAT0011335	4558	miRNA	sbi-miR169j
URS00000028A7	MIRBASE	MIMAT0012189	15368	miRNA	bdi-miR169b
URS00000028A7	MIRBASE	MIMAT0013992	4577	miRNA	zma-miR169p-5p
URS00000028A7	MIRBASE	MIMAT0020278	15819	miRNA	ssp-miR169
URS00000028A7	MIRBASE	MIMAT0029214	3983	miRNA	mes-miR169f
URS00000028A7	MIRBASE	MIMAT0037252	37682	miRNA	ata-miR169h-5p
URS0000002967	MIRBASE	MIMAT0014850	10090	miRNA	mmu-miR-3071-5p
URS0000002AFF	MIRBASE	MI0009077	7220	pre_miRNA	der-mir-312-1
